;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Wahlb. ohne Sperrv.;Wahlb. mit Sperrv.;Wahlb. insges.;Wähler;dav. mit Wahl-schein;Abge-gebene Erststimmen;Ungült. Erst-stimmen;Gültige Erst-stimmen;Dr. Braun,Helge Reinhold;CDU;Veit,Rüdiger;SPD;Dr. Solms,Hermann Otto;FDP;Koenigs,Thomas;GRÜNE;Al-Dailami, Ali Abass Yahya;DIE LINKE;Endlicher,Sascha;PIRATEN;Sachs,Volker;NPD;---;REP;---;BüSo;---;MLPD;---;AfD;---;pro Deutschland;---;FREIE WÄHLER;---;Die PARTEI;---;PSG;Klis,Peter Karol;---;
309;LESESAAL STUDENTENDORF;805;186;991;480;0;480;15;465;197;168;172;140;12;24;28;46;39;43;13;12;2;3;0;1;0;2;0;1;0;24;0;0;0;4;0;4;0;0;2;0;
311;KITA ST. FRANZISKUS;623;122;745;332;3;332;12;320;92;76;139;111;6;9;29;40;31;36;17;14;6;6;0;0;0;1;0;0;0;24;0;0;0;2;0;5;0;0;0;0;
401;STÄDTISCHE KITA;745;243;988;492;1;492;11;481;195;171;154;106;16;26;56;78;33;42;20;23;5;2;0;0;0;0;0;0;0;28;0;1;0;5;0;1;0;0;2;0;
402;LUDWIG-UHLAND I;752;253;1.005;569;2;569;11;558;215;185;202;155;18;25;76;105;29;36;11;15;4;1;0;0;0;0;0;1;0;29;0;1;0;1;0;6;0;0;3;0;
403;PFLEGEZENTRUM ST. ANNA;889;209;1.098;538;1;538;17;521;206;186;175;133;21;24;46;72;50;65;18;14;5;5;0;2;0;0;0;0;0;15;0;0;0;2;0;3;0;0;0;0;
404;INST. F. VET.-PHYS.;873;260;1.133;534;4;534;9;525;170;143;201;151;22;28;67;89;49;63;11;18;3;3;0;0;0;0;0;0;0;22;0;0;0;1;0;6;0;0;2;0;
405;CARITASHAUS M. FRIEDEN;865;199;1.064;548;3;548;13;535;174;155;207;158;10;20;57;81;50;59;27;17;9;8;0;1;0;0;0;1;0;24;0;0;0;6;0;8;0;0;1;0;
406;LUDWIG-UHLAND II;636;274;910;397;2;397;4;393;135;122;163;122;11;17;34;57;35;38;11;10;3;1;0;0;0;0;0;2;0;17;0;0;0;3;0;2;0;0;1;0;
407;LUDWIG-UHLAND III;503;166;669;361;3;361;3;358;135;109;124;91;9;17;37;47;39;56;11;11;2;2;0;0;0;0;0;0;0;18;0;0;0;5;0;2;0;0;1;0;
501;ALICENSCHULE I, RAUM 32;898;169;1.067;523;2;523;6;517;176;142;190;140;7;21;48;71;59;71;25;21;12;9;0;3;0;0;0;0;0;26;0;1;0;4;0;3;0;1;0;0;
502;ALICENSCHULE II, RAUM 28;1.023;136;1.159;524;0;524;15;509;200;174;211;176;11;17;22;40;38;50;21;13;5;9;0;0;0;0;0;0;0;20;0;0;0;2;0;8;0;1;1;0;
503;GRUNDSCHULE GIESSEN WEST;964;43;1.007;422;0;422;20;402;194;178;113;99;8;12;12;20;52;60;6;4;16;10;0;1;0;0;0;0;0;13;0;1;0;0;0;1;0;0;1;0;
504;WILHELM-LIEBKNECHT-HAUS;856;47;903;321;1;321;14;307;103;97;145;117;4;4;13;23;29;31;9;12;4;2;0;2;0;0;0;0;0;7;0;0;0;0;0;3;0;3;0;0;
505;ALICENSCHULE III, R. 29;790;226;1.016;517;2;517;11;506;198;168;173;115;14;20;63;78;44;63;12;23;2;3;0;0;0;0;0;0;0;26;0;3;0;1;0;3;0;0;0;0;
601;BGH WIESECK I, Gr.raum 2;869;215;1.084;586;1;586;12;574;277;262;178;147;11;21;38;49;36;46;24;16;6;4;0;1;0;0;0;0;0;21;0;1;0;4;0;3;0;0;4;0;
602;GRUNDSCHULE WIESECK;777;197;974;539;1;539;11;528;209;190;204;156;6;20;42;59;40;46;17;13;8;7;0;1;0;0;0;0;0;25;0;0;0;4;0;5;0;0;2;0;
603;FRIEDR.-EBERT-SCHULE;728;89;817;450;0;450;20;430;186;158;142;134;11;22;24;24;41;46;8;6;12;6;0;1;0;0;0;0;0;32;0;0;0;1;0;3;0;0;6;0;
604;SENIORENTREFF WIESECK;545;121;666;379;6;379;20;359;156;140;142;112;5;10;12;23;26;28;9;11;7;3;0;1;0;0;0;0;0;29;0;0;0;2;0;1;0;1;2;0;
605;BÜRGERHAUS WIESECK II;630;115;745;401;0;401;9;392;102;85;209;174;2;7;35;39;24;42;10;6;10;8;0;0;0;0;0;0;0;24;0;0;0;3;0;3;0;0;0;0;
606;BÜRGERHAUS WIESECK III;1.002;129;1.131;626;2;626;13;613;273;223;219;182;13;24;42;62;41;59;15;11;7;5;0;1;0;0;0;0;0;39;0;1;0;2;0;1;0;0;3;0;
607;EV. KITA PUSTEBLUME;524;96;620;355;1;355;6;349;162;142;119;88;14;22;24;43;15;18;10;8;5;6;0;0;0;0;0;0;0;16;0;0;0;4;0;3;0;0;0;0;
608;KITA GIESSEN-WIESECK;860;138;998;555;0;555;7;548;252;213;177;143;19;30;41;53;32;38;22;13;4;3;0;1;0;1;0;0;0;38;0;1;0;8;0;7;0;0;1;0;
701;BGH RÖDGEN I;549;150;699;391;0;391;10;381;168;143;142;123;13;18;36;42;11;18;6;3;5;2;0;0;0;0;0;0;0;23;0;1;0;10;0;0;0;0;0;0;
702;BGH RÖDGEN II;667;111;778;486;1;486;18;468;160;140;206;180;6;11;35;40;37;40;12;7;8;4;0;0;0;2;0;1;0;24;0;1;0;18;0;4;0;0;4;0;
901;BGH KLEINLINDEN;840;158;998;526;2;526;15;511;168;156;206;161;7;15;59;73;45;56;22;16;3;2;0;1;0;1;0;0;0;21;0;0;0;4;0;5;0;0;1;0;
902;EVANGELISCHES GEM.HAUS I;846;223;1.069;617;1;617;15;602;258;223;222;174;15;28;48;77;40;50;12;12;4;2;0;3;0;0;0;0;0;22;0;1;0;3;0;5;0;0;3;0;
903;BRÜDER-GRIMM-SCHULE I;646;201;847;529;10;529;17;512;218;191;188;145;19;35;42;66;23;35;15;9;5;4;0;0;0;0;0;0;0;27;0;1;0;6;0;0;0;0;2;0;
904;BRÜDER-GRIMM-SCHULE II;530;166;696;420;1;420;13;407;197;158;123;104;10;32;45;54;21;28;9;10;0;0;0;0;0;0;0;0;0;19;0;0;0;2;0;2;0;0;2;0;
1001;MEHRZWECKH. ALLENDORF I;532;174;706;412;2;412;10;402;172;146;156;121;9;21;39;60;12;19;8;11;6;5;0;1;0;0;0;0;0;12;0;1;0;8;0;0;0;0;0;0;
1002;MEHRZWECKH. ALLENDORF II;578;153;731;419;0;419;15;404;163;128;165;133;6;23;25;40;30;30;8;10;6;3;0;1;0;0;0;0;0;29;0;3;0;5;0;0;0;0;1;0;
1101;STÄDT. KIGA;815;189;1.004;588;1;588;11;577;275;237;194;159;16;37;31;48;28;31;18;13;13;9;0;0;0;0;0;0;0;29;0;2;0;6;0;5;0;0;2;0;
1102;LINDBACHSCHULE LÜLI;714;119;833;510;2;510;7;503;236;221;164;125;13;19;37;50;29;44;17;10;7;7;0;2;0;0;0;0;0;19;0;0;0;5;0;2;0;0;0;0;
90001;Briefwahl;0;0;0;940;940;940;17;923;325;286;286;236;22;44;180;206;56;67;44;36;1;1;0;1;0;0;0;0;0;32;0;1;0;9;0;9;0;0;9;0;
90002;Briefwahl;0;0;0;815;815;815;6;809;243;223;287;218;26;38;189;218;41;59;17;21;1;1;0;0;0;1;0;0;0;17;0;1;0;7;0;7;0;0;5;0;
90003;Briefwahl;0;0;0;899;899;899;18;881;278;214;285;231;23;51;167;211;74;85;35;29;11;10;0;1;0;0;0;1;0;29;0;0;0;8;0;13;0;0;8;0;
90004;Briefwahl;0;0;0;993;993;993;26;967;389;325;331;300;33;53;115;138;47;53;27;25;16;10;0;0;0;0;0;0;0;33;0;2;0;17;0;6;0;0;9;0;
90005;Briefwahl;0;0;0;819;819;819;18;801;351;308;247;210;29;49;90;100;35;56;25;21;15;10;0;2;0;0;0;0;0;34;0;3;0;6;0;11;0;0;9;0;
90006;Briefwahl;0;0;0;807;807;807;20;787;333;285;216;175;39;56;116;141;51;59;23;16;2;1;0;0;0;0;0;0;0;37;0;1;0;10;0;11;0;0;7;0;
90007;Briefwahl;0;0;0;717;717;717;15;702;297;253;207;165;18;39;91;111;46;52;25;25;9;8;0;1;0;0;0;0;0;35;0;0;0;11;0;6;0;0;9;0;
90008;Briefwahl;0;0;0;832;832;832;12;820;314;276;249;184;30;52;130;160;50;76;31;29;5;3;0;2;0;0;0;0;0;29;0;0;0;6;0;8;0;3;11;0;
90009;Briefwahl;0;0;0;805;805;805;10;795;326;278;249;207;30;46;120;142;34;38;22;21;5;4;0;1;0;0;0;0;0;45;0;3;0;4;0;7;0;0;9;0;
90010;Briefwahl;0;0;0;778;778;778;6;772;281;253;291;237;16;29;88;119;51;57;30;27;6;8;0;0;0;0;0;0;0;29;0;1;0;6;0;8;0;0;9;0;
90011;Briefwahl;0;0;0;689;689;689;16;673;303;276;212;180;29;39;57;85;30;36;30;16;4;3;0;0;0;1;0;0;0;26;0;0;0;10;0;4;0;0;8;0;
90012;Briefwahl;0;0;0;844;844;844;17;827;361;306;260;202;46;73;102;133;32;51;20;22;3;3;0;0;0;0;0;0;0;33;0;0;0;6;0;5;0;0;3;0;
;Gesamt;46.266;10.602;56.868;39.158;10.027;39.158;907;38.251;14.462;12.490;13.670;10.804;965;1.773;4.215;5.475;2.954;3.730;1.346;1.182;436;340;0;44;0;13;0;13;0;1.745;0;44;0;328;0;359;0;16;203;0;
